ter;plot;label;ms;com;ind;sp;height;diameter;state;flower;;;;;
3;11;1043;0;M;1;pistachia;32,9;4,91;1;;;;;;
3;11;1044;1;M;1;pistachia;32,4;4,03;;;;;;;
3;11;1045;1;D;1;dorycnium;31,3;3,51;;;;;;;
3;11;1046;0;D;1;dorycnium;27,1;2,76;;;;;;;
3;11;1047;0;P;1;pistachia;28,2;4,52;1;;;;;;
3;11;1048;1;P;1;pistachia;25;3,47;;;;;;;
3;11;1049;0;A;1;anthyllis;18,6;3;;;;;;;
3;11;1050;0;A;1;anthyllis;25,5;2,38;;;;;;;
3;11;1151;1;A;1;anthyllis;22;2,37;;1;;;;;
3;11;1152;1;M;1;dorycnium;24,1;3,28;;;;;;;
3;11;1153;0;M;1;anthyllis;27;2,72;;;;;;;
3;11;1154;1;M;1;anthyllis;26,5;2,51;;1;;;;;
3;11;1155;0;M;1;anthyllis;21,4;2,42;;;;;;;
3;11;1080;1;M;1;dorycnium;28,4;2,13;;;;;;;
3;11;1065;0;M;1;anthyllis;19,1;2,19;;;;;;;
3;11;1156;0;A;1;anthyllis;35;2,05;;1;;;;;
3;11;1079;1;A;1;anthyllis;;;3;;;;;;
3;11;1081;1;A;1;anthyllis;19;2,64;;;;;;;
3;11;1084;0;A;1;anthyllis;18,8;2,18;;;;;;;
3;11;1085;1;A;1;anthyllis;24,8;2,57;;1;;;;;
3;11;1088;1;D;1;dorycnium;31,2;2,16;;;;;;;
3;11;1089;0;D;1;dorycnium;28,5;2,55;;;;;;;
3;11;1092;1;D;1;dorycnium;20;2,02;;;;;;;
3;11;1093;0;D;1;dorycnium;33,9;1,83;;;;;;;
3;11;1094;0;P;1;pistachia;30,5;3,82;1;;;;;;
3;11;1159;0;A;1;anthyllis;20;2,32;;;;;;;
3;11;1095;1;A;1;anthyllis;22,5;2,36;;;;;;;
3;11;1096;1;A;1;anthyllis;13,7;1,26;;;;;;;
3;11;1197;0;A;1;anthyllis;13,1;1,68;2;;;;;;
3;11;1099;1;P;1;pistachia;34,7;3,86;1;;;;;;
3;11;1100;0;P;1;pistachia;17,5;2,76;1;;;;;;
3;11;1001;0;D;1;dorycnium;30,5;3,36;;;;;;;
3;11;1002;1;D;1;dorycnium;31,6;2,05;;;;;;;
3;11;1003;1;P;1;pistachia;27;3,9;;;;;;;
3;11;1004;0;P;1;pistachia;33,5;4,04;1;;;;;;
3;11;1005;1;D;1;dorycnium;28,5;3,02;;;;;;;
3;11;1006;1;A;1;anthyllis;20,2;1,74;;;;;;;
3;11;1007;0;A;1;anthyllis;18,5;1,57;;;;;;;
3;11;1009;0;D;1;dorycnium;24,5;2,25;;;;;;;
3;11;1010;0;A;1;anthyllis;23,5;2,13;;;;;;;
3;11;1012;0;M;1;pistachia;37,3;4,18;2;;;;;;
3;11;1013;1;M;1;pistachia;28,4;2,55;;;;;;;
3;11;1014;0;M;1;dorycnium;32;2,71;1;;;;;;
3;11;1015;1;M;1;dorycnium;30,8;3;;;;;;;
3;11;1016;1;A;1;anthyllis;;;3;;;;;;
3;11;1018;1;P;1;pistachia;27,2;3,43;1;;;;;;
3;11;1019;1;D;1;dorycnium;31,4;1,83;;;;;;;
3;11;1021;0;D;1;dorycnium;35,5;3,11;;;;;;;
3;12;801;0;M;1;pistachia;25,1;2,83;1;;;;;;
3;12;802;1;M;1;dorycnium;18,5;3,81;;;;;;;
3;12;803;0;A;1;anthyllis;28;1,82;;1;;;;;
3;12;804;0;M;1;anthyllis;34,5;2,23;;1;;;;;
3;12;805;1;A;1;anthyllis;14,7;3,34;;;;;;;
3;12;806;1;M;1;dorycnium;32;3,85;;;;;;;
3;12;808;1;M;1;anthyllis;;;3;;;;;;
3;12;809;0;M;1;anthyllis;20,5;1,76;;;;;;;
3;12;810;1;D;1;dorycnium;20,4;2,7;;;;;;;
3;12;811;0;D;1;dorycnium;25,8;1,8;;;;;;;
3;12;814;0;P;1;pistachia;20,2;3,47;;;;;;;
3;12;815;1;P;1;pistachia;24,7;5,59;;;;;;;
3;12;816;0;D;1;dorycnium;38,8;3,01;;;;;;;
3;12;817;1;D;1;dorycnium;35,5;2,89;;;;;;;
3;12;818;0;M;1;anthyllis;15;1,39;;;;;;;
3;12;819;1;M;1;anthyllis;;;3;;;;;;
3;12;820;1;A;1;anthyllis;;;3;;;;;;
3;12;821;1;D;1;dorycnium;28,8;3,41;;;;;;;
3;12;822;0;A;1;anthyllis;17,1;1,5;;;;;;;
3;12;823;0;D;1;dorycnium;26,5;4,66;;;;;;;
3;12;824;1;P;1;pistachia;20,5;4,03;;;;;;;
3;12;825;0;P;1;pistachia;18,5;2,91;1;;;;;;
3;12;834;0;M;1;pistachia;12,5;3,64;1;;;;;;
3;12;835;1;M;1;anthyllis;22;1,84;;;;;;;
3;12;836;0;P;1;pistachia;23,6;3,44;2;;;;;;
3;12;833;1;P;1;pistachia;18;1,83;;;;;;;
3;12;837;0;P;1;pistachia;21,4;2,5;1;;;;;;
