terrace;plot;label;microsite;com;watering;probes;notes
3;12;829;0;;;;
3;12;830;1;;;;
3;12;831;0;;;;
3;12;832;0;;;;
3;12;833;1;;;;
3;12;834;0;;;;
3;12;835;1;M;;;
3;12;836;0;P;;;
3;12;836bis;1;P;;;
3;12;837;0;P;;;
3;12;838;1;P;;;
3;12;839;0;A;;;
3;12;840;0;;;;
3;12;841;1;;;;
3;12;842;1;P;;;
3;12;843;0;P;;;
3;12;844;1;A;;;
3;12;845;0;A;;;
3;12;846;1;A;;;
3;12;847;0;D;;;
3;12;848;1;D;;;
3;12;849;0;D;;;
3;12;850;1;D;;;
3;12;851;1;M;;;
3;12;852;0;M;;;
3;12;853;0;A;;;
3;12;854;0;A;;;
3;12;855;1;A;;;
3;12;856;0;D;;;
3;12;857;1;D;;;
3;12;858;0;M;;;
3;12;859;1;M;;;
3;12;860;1;A;;;
3;12;861;0;D;;;
3;12;862;1;D;;;
3;12;863;0;A;;;
3;12;864;0;D;;;
3;12;865;1;A;;;
3;12;866;1;D;;;
3;12;867;0;M;;;
3;12;868;1;M;;;
3;12;869;0;P;;;
3;12;870;0;A;;;
3;12;871;1;A;;;
3;12;872;1;;;;
3;12;873;0;;;;
3;12;874;1;P;;;
3;12;875;0;P;;;
3;12;876;1;P;;;
3;12;877;0;P;;;
3;12;878;1;P;;;
