ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3;e1;e2;e3
3;9;891;0;M;0;anthyllis;pistachia;dorycnium;30;D;36,5;2,55;3,75;2,53;31;D;36,5;;;
3;9;892;1;M;1;dorycnium;pistachia;anthyllis;22,5;20,5;20;3,27;3,73;2,32;32;25;23,5;;;
3;9;897;1;P;0;pistachia;pistachia;pistachia;14,5;D;D;2,91;2,94;2,83;15,5;D;D;;;
3;9;898;0;P;1;pistachia;pistachia;pistachia;14,5;D;D;2,41;2,75;3,86;15,5;D;D;;;
3;9;899;0;P;1;pistachia;pistachia;pistachia;18,5;16,5;22;3,73;3,42;3,7;21;20;25;;;
3;9;900;1;P;1;pistachia;pistachia;pistachia;20,5;18,5;13,5;2,81;2,87;2,68;21;18;13,5;;;
3;9;1329;1;M;1;anthyllis;dorycnium;pistachia;22;27;22,5;2,52;2,31;4,58;29;27,5;22;;;
3;9;901;0;M;0;dorycnium;anthyllis;pistachia;27;20;19;2,36;2,5;3,11;31,5;20;21;;;
3;9;905;0;D;0;dorycnium;dorycnium;dorycnium;D;D;31;3,28;2,83;4,14;D;D;45;;;
3;9;906;1;D;1;dorycnium;dorycnium;dorycnium;39,5;D;D;2,93;2,19;2,25;47;D;D;;;
3;9;907;0;A;0;anthyllis;anthyllis;anthyllis;36;28;37;2,89;2,47;4,17;39,5;27,5;37;;;
3;9;908;1;A;1;anthyllis;anthyllis;anthyllis;45,5;25,5;C;3,19;2,1;2,15;46;26;C;;;cassé
3;9;912;1;M;0;dorycnium;pistachia;anthyllis;26;15;28,5;2,23;2,43;2,37;28,5;17;29;;;
3;9;913;0;M;0;pistachia;dorycnium;anthyllis;18;16,5;24,5;2,27;2,59;2,69;20,5;16;26;;;
