ter	plot	label	ms	com	watering	sp1	sp2	sp3	h1	h2	h3	d1	d2	d3	fresh_mass1	fresh_mass2	fresh_mass3	fresh_m_f1	fresh_m_f2	fresh_m_f3
2	8	468	0	M	1	anthyllis	pistachia	dorycnium	22,3	17	25	2,65	1,93	3,72						
2	8	470	0	A	1	anthyllis	anthyllis	anthyllis	33,7	19,2	9,5	2,99	2,72	1,79						
2	8	471	1	A	1	anthyllis	anthyllis	anthyllis	25,2	17,7	23,6	2,09	1,82	1,77						
2	8	472	1	P	1	pistachia	pistachia	pistachia	23,5	18,5	17,1	3,24	2,35	2,01						
2	8	473	0	D	0	dorycnium	dorycnium	dorycnium	28,3	30,5	29	3,23	2,62	2,6						
2	8	474	1	D	0	dorycnium	dorycnium	dorycnium	27,2	24	25,5	2,72	2,42	2,01						
2	8	477	1	M	0	dorycnium	pistachia	anthyllis	28,5	26,2	20,5	2,22	2,75	1,85						
2	8	478	0	M	0	dorycnium	pistachia	anthyllis	24,2	20,7	26	2,08	2,51	1,98						
2	8	479	0	A	1	anthyllis	anthyllis	anthyllis	19,7	20,3	20,7	3,21	2,53	2,24						
2	8	480	1	A	0	anthyllis	anthyllis	anthyllis	30,5	29	25,8	2,07	2,37	3,03						
3	9	881	0	A	1	anthyllis	anthyllis	anthyllis	21,4	18,8	18,6	3,08	2,69	1,59						
3	9	882	1	A	0	anthyllis	anthyllis	anthyllis	21,5	13,5	33,5	2,57	1,55	2,48	0,13		0,081	0,115		0,076
3	9	887	0	M	1	pistachia	anthyllis	dorycnium	26,2	16	25	3,65	2,48	2,4	0,935	0,105		0,776	0,1	
3	9	888	1	M	1	dorycnium	pistachia	anthyllis	30	28,7	40,6	2,89	3,11	2,81	0,041	0,895	0,208		0,752	0,2
3	9	889	1	P	0	pistachia	pistachia	pistachia	21	27,9	24,3	2,41	2,62	2,58						
3	9	890	0	P	1	pistachia	pistachia	pistachia	25,8	22,7	19,8	2,52	2,85	4,44						
3	9	891	0	M	0	dorycnium	pistachia	anthyllis	27,6	26	25,3	2,06	3,92	1,92	0,071	0,879			0,688	
3	9	892	1	M	1	dorycnium	pistachia	anthyllis	31,2	23	19,4	3,41	3,83	2,3						
3	9	897	1	P	0	pistachia	pistachia	pistachia	15,5	17,5	14,8	2,77	2,58	3,45						
3	9	898	0	P	1	pistachia	pistachia	pistachia	19,5	19	14,6	3,71	3,49	3,36						
3	9	899	0	P	1	pistachia	pistachia	pistachia	20,3	17,3	22,1	3,08	3,06	3,34						
3	9	900	1	P	1	pistachia	pistachia	pistachia	14	18,5	18,4	2,31	2,58	2,56						
3	9	1329	1	M	1	anthyllis	dorycnium	pistachia	35	22,8	27,5	1,58	1,55	4,01	0,03		0,956	0,026		0,783
3	9	901	0	M	0	dorycnium	anthyllis	pistachia	22,5	17	18,9	2,06	1,68	2,54						
3	9	905	0	D	0	dorycnium	dorycnium	dorycnium	36,4	17,3	37,1	3,02	3,34	3,81						
3	9	906	1	D	1	dorycnium	dorycnium	dorycnium	36	24	25,3	2,25	1,96	2,05						
3	9	907	0	A	0	anthyllis	anthyllis	anthyllis	36,6	17,8	17,2	2,35	1,74	2,16						
3	9	908	1	A	1	anthyllis	anthyllis	anthyllis	28	26,4	27	2,75	1,95	3,77	0,211	0,133	0,091	0,197	0,119	0,085
3	9	912	1	M	0	dorycnium	pistachia	anthyllis	23	16,5	13,5	2,1	2,8	1,34						
3	9	911	0	M	0	dorycnium	pistachia	anthyllis	17,6	16,4	16,7	2,26	2,32	2,19						
3	9	914	1	D	0	dorycnium	dorycnium	dorycnium	32,5	31,5	37	2,16	2,9	2,74						
3	9	915	0	D	0	dorycnium	dorycnium	dorycnium	27,2	37	29	2,27	2,59	2,1						
3	9	916	1	D	1	dorycnium	dorycnium	dorycnium	25	16,2	28,4	2,48	1,85	1,99						
3	9	917	0	D	0	dorycnium	dorycnium	dorycnium	33,7	34,3	39	2,22	2,21	3,18						
3	9	918	0	A	1	anthyllis	anthyllis	anthyllis	16,5	18,5	21,4	2,22	2,3	2,21	0,142	0,235	0,063	0,131	0,218	0,057
3	9	919	1	A	0	anthyllis	anthyllis	anthyllis	17,2	18	19,8	2,1	2,04	2,2						
3	9	920	0	D	1	dorycnium	dorycnium	dorycnium	32,2	33,6	25,5	2,95	1,83	2,55						
3	9	921	1	D	0	dorycnium	dorycnium	dorycnium	36,5	37	35,6	1,49	2,49	1,43	0,053		0,041			
3	9	922	1	A	0	anthyllis	anthyllis	anthyllis	18,6	20,5	14,5	2,27	2,25	1,66						
3	9	923	0	A	1	anthyllis	anthyllis	anthyllis	27	18	27,5	2,86	3,63	4,11						
3	9	924	0	P	0	pistachia	pistachia	pistachia	22,5	13,6	22,3	3,97	1,79	2,98	0,798	0,721	0,68	0,645	0,609	0,691
3	9	925	1	P	0	pistachia	pistachia	pistachia	9,5	22,5	23	2,35	3,22	2,48						
3	9	926	0	D	0	dorycnium	dorycnium	dorycnium	31	30	29,1	2,72	2,34	2,77		0,053	0,061			
3	9	927	1	D	0	dorycnium	dorycnium	dorycnium	31,4	23,5	34,4	2,16	2,22	2,05						
