ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3
2;8;471;1;A;1;anthyllis;anthyllis;anthyllis;31;17,7;24;3,26;2,36;2,27;31;17,2;24,1
2;8;472;1;P;1;pistachia;pistachia;pistachia;23,8;21;17,5;3,63;2,64;2,64;23,6;22;20,1
2;8;473;0;D;0;dorycnium;dorycnium;dorycnium;28;28;28,8;3,35;2,98;2,64;28,5;30,7;37,8
2;8;474;1;D;0;dorycnium;dorycnium;dorycnium;24,5;28,8;26,5;4,55;3,54;2,2;24,6;27,3;26,1
2;8;477;1;M;0;dorycnium;pistachia;anthyllis;27,7;24,1;24,8;2,4;3,03;2,13;27,6;26,6;20,6
2;8;478;0;M;0;dorycnium;pistachia;anthyllis;24,1;21,4;28,7;1,92;2,78;1,96;25,7;24,5;28,3
2;8;479;0;A;1;anthyllis;anthyllis;anthyllis;19;20,2;23;3,62;3,1;2,56;21,4;20,5;22,6
2;8;480;1;A;0;anthyllis;anthyllis;anthyllis;38,9;30;27,9;2,57;2,83;3,45;40,1;32,9;33,2
3;9;881;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;
3;9;882;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;
3;9;887;0;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;
3;9;888;1;M;1;dorycnium;pistachia;anthyllis;;;;;;;;;
3;9;889;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;
3;9;890;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;
3;9;891;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;
3;9;892;1;M;1;dorycnium;pistachia;anthyllis;;;;;;;;;
3;9;897;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;
3;9;898;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;
3;9;899;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;
3;9;900;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;
3;9;1329;1;M;1;anthyllis;dorycnium;pistachia;;;;;;;;;
3;9;901;0;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;
3;9;905;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;
3;9;906;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;
